"Name","Crafting Recipe"
"Digging Training Manual","Pebbles (20)
 Sand (20)
 Soil (30)
 Dreamlight (5000)"
"Dreamlight (250)[1]","Dream Shard (10)"
"Even More Miraculous Fishing Bait","Vitalys Crystal (20)
 Red Algae (10)
 Dreamlight (1000)"
"Even More Miraculous Growth Elixir","Vitalys Crystal (20)
 Rich Soil (20)
 Dreamlight (1000)"
"Even More Miraculous Pickaxe Polish","Vitalys Crystal (20)
 Onyx (10)
 Dreamlight (1000)"
"Even More Miraculous Shovel Varnish","Vitalys Crystal (20)
 Dry Wood (20)
 Dreamlight (1000)"
"Fishing Training Manual","Swordfish (2)
 Bream (5)
 Herring (10)
 Dreamlight (5000)"
"Foraging Training Manual","Banana (30)
 Blueberry (20)
 Basil (10)
 Dreamlight (5000)"
"Gardening Training Manual","Corn (40)
 Tomato (60)
 Carrot (20)
 Dreamlight (5000)"
"Mining Training Manual","Topaz (2)
 Aquamarine (2)
 Peridot (2)
 Dreamlight (5000)"
"Miracle Fishing Bait","Vitalys Crystal (10)
 Red Algae (5)
 Dreamlight (500)"
"Miracle Growth Elixir","Vitalys Crystal (10)
 Rich Soil (10)
 Dreamlight (500)"
"Miracle Pickaxe Polish","Vitalys Crystal (10)
 Onyx (5)
 Dreamlight (500)"
"Miracle Shovel Varnish","Vitalys Crystal (10)
 Dry Wood (10)
 Dreamlight (500)"
"Pixelized Cooking Flame[1]","Pixel Shard (5)"
"Purified Night Shard","Night Shard (5)
 Dream Shard"
"Superior Pixelized Cooking Flame[1]","Pixel Shard (10)"
"Timebending Training Manual","Wooden Oar (10)
 Dinglehopper (10)
 Pink Bow (10)
 Dreamlight (5000)"
"Snippet-Catching Training Manual","Dreamlight (5000)
 Blue Bird Snippet (10)
 Pink Demon Snippet (10)
 Green Frog Snippet (10)"
