"Name","Locations"
"Stone","All Biomes"
"Coal Ore","All Biomes"
"Iron Ore","Forest of Valor
 Glade of Trust
 Sunlit Plateau
 Frosted Heights
 Forgotten Lands
 Vitalys Mine
 The Bind
 Everafter"
"Gold Nugget","Frosted Heights
 Sunlit Plateau
 Forgotten Lands
 Vitalys Mine
 Mythopia"
"Crystal","Forgotten Lands"
"Copper","Ancient's Landing
 Glittering Dunes
 Wild Tangle"
"Quartz","Ancient's Landing"
"Tin","Glittering Dunes"
"Zinc","Wild Tangle"
"Petrified Wood","The Bind
 Everafter"
"Marble","Mythopia"
"Antique Clothes Iron","Glamour Gulch"
"Grassy Ore","Pixie Acres"
"Pixie Dust","Wishing Alps
 Glamour Gulch
 Pixie Acres"
"Silver Ore","Wishing Alps"
